,Title,Year,Genre,Plot,Kind,Gross,lemmatized_Plot
346,100 Days to Heaven,2011,Drama,Anna malastas was once a sweet girl that becomes a cruel old woman because of her father's plan of discipline. She inherits a toy company but on a tragic day she got involved in a car accident. She canno't go to heaven because of all the people that she treated wrong but gets a second chance by fixing their current problems. The only problem is she is transformed into her younger self.Written byBrent Cruz,tv,,"['sweet', 'girl', 'become', 'cruel', 'old', 'woman', 'father', 'plan', 'discipline', 'inherit', 'toy', 'company', 'tragic', 'day', 'involve', 'car_accident', 'can_not', 'go', 'people', 'treat', 'wrong', 'get', 'second_chance', 'fix', 'current', 'problem', 'problem', 'transform', 'young', 'self']"
347,John Denver Trending,2019,Drama,A 14-year-old farmboy's life is suddenly upended when a video of him brutally attacking a classmate went viral.,movie,,"['farmboy', 'life', 'suddenly', 'upend', 'video', 'brutally', 'attack', 'classmate', 'go', 'viral']"
348,Utopia,2019,Drama,"Utopia follows a freelance videographer, a rookie police officer, an undercover PDEA agent who all get caught in the labyrinth of the city's crime scene all because they were in the wrong place at the wrong time.",movie,,"['utopia', 'follow', 'freelance', 'videographer', 'rookie', 'undercover', 'pdea', 'agent', 'catch', 'labyrinth', 'citys', 'crime', 'scene', 'wrong', 'place', 'wrong', 'time']"
349,Heremias: Unang aklat - Ang alamat ng prinsesang bayawak,2006,"Crime, Drama",A wandering peddler separates from his fellow salesman and becomes involved with criminals in the jungle.,movie,,"['wander', 'peddler', 'separate', 'fellow', 'salesman', 'become', 'involved', 'criminal', 'jungle']"
350,Captain Barbell,1964,"Action, Family, Fantasy",Marvelous entertainment for the whole family to relish.,movie,,"['marvelous', 'entertainment', 'whole', 'family', 'relish']"
351,Pakasalan mo ako,1991,Drama,"Agnes (Janice de Belen) reveals to Jerry (Aga Muhlach) about her pregnancy and pleads that he marry her but refuses to do so since he is not prepared for such a relationship. Caught in a desperate situation, Agnes marries Dodie (Gabby Concepcion) who offers marriage and name to her child. However, her son PJ suffers cruelty from Dodie. Jerry later on pursues Agnes again but engages in heavy confrontations with Dodie until Agnes accidentally shoots Dodie in defense of Jerry. The court rules self-defense in favor of Agnes and she gets acquitted. The movie ends with the happy reunion of Agnes, Jerry and PJ together as a family.Written byanonymous",movie,,"['agne', 'janice', 'reveal', 'jerry', 'aga_muhlach', 'pregnancy', 'plead', 'marry', 'refuse', 'prepare', 'relationship', 'catch', 'desperate', 'situation', 'agne', 'marry', 'dodie', 'gabby_concepcion', 'offer', 'marriage', 'name', 'child', 'however', 'son', 'suffer', 'cruelty', 'dodie', 'jerry', 'later', 'pursue', 'agne', 'engage', 'heavy', 'confrontation', 'dodie', 'agne', 'accidentally', 'shoot', 'dodie', 'defense', 'jerry', 'court', 'rule', 'selfdefense', 'favor', 'agne', 'acquit', 'movie', 'end', 'happy', 'reunion', 'agne', 'jerry', 'together', 'family']"
353,"I Love You, Hater",2018,Comedy,"Joko (Joshua Garcia) is a boy trying to help his family survive, while Zoey (Julia Barretto) is a girl hoping to prove herself to the world. Opportunity rises when Sasha (Kris Aquino) is looking to hire a new personal assistant. Just one catch - they have to compete against each other. Will their own goals prevail, or will they set aside their differences and find true happiness and love in the end?",movie,"$13,866","['joshua', 'garcia', 'boy', 'try', 'help', 'family', 'survive', 'barretto', 'girl', 'hope', 'prove', 'world', 'opportunity', 'rise', 'sasha', 'kris', 'aquino', 'look', 'hire', 'new', 'personal', 'assistant', 'catch', 'compete', 'goal', 'prevail', 'set', 'aside', 'difference', 'find', 'true', 'happiness', 'love', 'end']"
355,Small and Terrible,1990,Comedy,"Inday (Manilyn Reynes) is a funny and brave girl who is notorious in her place. She fights with Baldomero's (Roderick Paulate's) family because of petty things. Then Baldomero finds a magical amulet that allows him to copy anyone he wants, even Inday. Philippines Tagalog movie.",movie,,"['reyne', 'funny', 'brave', 'girl', 'notorious', 'place', 'fight', 'baldomero', 'roderick', 'paulate', 'family', 'petty', 'thing', 'baldomero', 'find', 'magical', 'amulet', 'allow', 'copy', 'want', 'even', 'inday']"
356,"Hello, Love, Goodbye",2019,"Drama, Romance","The film centers on the love story of Joy (Bernardo) and Ethan (Richards), Filipino workers based in Hong Kong. Ethan, a bartender, is keen on romantically pursuing Joy, a domestic helper who is wholly dedicated to providing for her family.Written byWikipedia",movie,"$1,089,515","['film', 'center', 'love', 'story', 'joy', 'bernardo', 'ethan', 'filipino', 'worker', 'base', 'ethan', 'bartender', 'keen', 'romantically', 'pursue', 'joy', 'wholly', 'dedicated', 'provide', 'family']"
357,Topo-Topo barega,1978,Action,"Racky, Brad, Boy, Bimbo and Egay are stowaways from Olongapo City trying to survive in Manila. When they met up with Eric and Anton, they become one big happy family. ""Topo Topo Barega,"" an expression meaning ""all for one, one for all.""",movie,,"['racky', 'brad', 'boy', 'bimbo', 'egay', 'stowaway', 'city', 'try', 'survive', 'manila', 'meet', 'become', 'big', 'happy', 'family', 'topo', 'topo', 'barega', 'expression', 'mean', 'one']"
358,Everyday I Love You,2015,"Drama, Romance","Audrey Locsin (Liza Soberano) is a romantic, old soul, who believes that forever is possible. Her love, Tristan Montelibano (Gerald Anderson), is a laid-back haciendero from Bacolod. However, when the latter was in a coma, she met and falls in love with Ethan Joseph Alfaro (Enrique Gil), an achievement-oriented young man from Manila who works for a TV company. This situation made her torn between the man of her dreams, and the man who makes her dreams come true.",movie,"$2,212,624","['audrey', 'locsin', 'liza', 'romantic', 'old', 'soul', 'believe', 'forever', 'possible', 'love', 'montelibano', 'laidback', 'haciendero', 'bacolod', 'however', 'latter', 'coma', 'meet', 'fall', 'love', 'alfaro', 'gil', 'achievementoriente', 'young', 'man', 'manila', 'work', 'tv', 'company', 'situation', 'make', 'torn', 'man', 'dream', 'man', 'make', 'dream', 'come', 'true']"
359,Eskrimadors,2010,"Documentary, Action, History","A look into the ancient and deadly Filipino Martial Art of Eskrima/Kali/Arnis. Eskrimadors traces the development of the fighting art from its roots in tribal warfare, to its evolution into a sport practiced in over 30 countries worldwide. Shot entirely in the island of Cebu, the birthplace of this fighting art.Written byAnonymous",movie,,"['look', 'ancient', 'deadly', 'filipino', 'martial', 'art', 'eskrimador', 'trace', 'development', 'fight', 'art', 'root', 'tribal', 'warfare', 'evolution', 'sport', 'practice', 'country', 'worldwide', 'shoot', 'entirely', 'island', 'cebu', 'birthplace', 'fight', 'art']"
361,Paano tatakasan ang bukas?,1988,Drama,"Desiree and Gilbert fall in love, and their families try to break them up.",movie,,"['gilbert', 'fall', 'love', 'family', 'try', 'break']"
362,Malamaya,2019,"Drama, Romance","Malamaya is a coming-of-old age story of Nora Simeon, a middle-aged single visual artist who is beginning to feel passé. As she recaptures her prime, she finds spark with Migs, an aspiring photographer who reignites forgotten passions and elicits bursts of inspiration. As she embarks on a May-December love affair, Nora fails to notice how he invades her art and senses; and eventually, her art and body.",movie,,"['malamaya', 'comingofold', 'age', 'story', 'nora', 'middleage', 'single', 'visual', 'artist', 'begin', 'feel', 'passé', 'recapture', 'prime', 'find', 'spark', 'mig', 'aspire', 'photographer', 'reignite', 'forget', 'passion', 'elicit', 'burst', 'inspiration', 'embark', 'maydecember', 'love', 'affair', 'nora', 'fail', 'notice', 'invade', 'art', 'sense', 'eventually', 'art', 'body']"
363,Tragic Theater,2015,Horror,A team of exorcists are sent into an old theater that is rumored to have been the site of a great tragedy during its construction.,movie,,"['team', 'exorcist', 'send', 'old', 'theater', 'rumor', 'site', 'great', 'tragedy', 'construction']"
365,Imoral,2008,"Drama, Romance",Tackles the dynamics of the relationship of a husband with his wife and his lover -- and they all live together in one house.,movie,,"['tackle', 'dynamic', 'relationship', 'husband', 'wife', 'lover', 'live', 'together', 'house']"
366,In Your Eyes,2010,"Drama, Romance","Ciara(Claudine) goes to America as a physical therapist fulfilling a lifelong dream to better provide for her sister's needs. While back in the Philippines, Julia (Anne) lives a fast life and engages in a whirlwind romance with photographer Storm (Richard)Julia decides to follow Ciara to the US while Storm decides he cannot live without Julia and joins her on impulse. As Julia struggles to make a career, Storm starts to lose himself as an illegal alien, thus wanting to return to the Philippines. To help Storm obtain an immigrant status, Julia pleads Ciara to marry Storm for papers. Out of love for Julia, Ciara agrees.l Amidst the fraudulent marriage, true love blossoms between Storm and Ciara. Caught in the web of love and lies, fate finds its way to bring true love together. But with whom?Written byledster",movie,"$1,436,836","['ciaraclaudine', 'go', 'america', 'physical', 'therapist', 'fulfil', 'lifelong', 'dream', 'well', 'provide', 'sister', 'need', 'back', 'philippine', 'live', 'fast', 'life', 'engage', 'whirlwind', 'romance', 'photographer', 'storm', 'richardjulia', 'decide', 'follow', 'ciara', 'storm', 'decide', 'can_not', 'live', 'join', 'impulse', 'make', 'career', 'storm', 'start', 'lose', 'illegal', 'alien', 'thus', 'want', 'return', 'philippine', 'help', 'storm', 'obtain', 'immigrant', 'status', 'plead', 'ciara', 'marry', 'storm', 'paper', 'love', 'ciara', 'fraudulent', 'marriage', 'true', 'love', 'blossom', 'storm', 'ciara', 'catch', 'web', 'love', 'lie', 'fate', 'find', 'way', 'bring', 'true', 'love', 'together']"
367,"Labs kita, Okey ka lang?",1998,"Comedy, Romance",Ned and Bujoy's longtime friendship blossoms into love when they start to date other people.,movie,,"['bujoy', 'longtime', 'friendship', 'blossom', 'love', 'start', 'date', 'people']"
369,Dugong buhay,1983,"Action, Drama, Thriller","It tells the story of a hacienda or ranch worker Samuel (Ramon Revilla Sr.), who is seeking revenge against the cruelty of the de Lara family. Because of his hatred, Samuel uses his own son, Alvaro (Ramon ""Bong"" Revilla Jr.), to destroy those who maltreated them.Written byAnonymous",movie,,"['tell', 'story', 'hacienda', 'ranch', 'worker', 'sr', 'seek', 'revenge', 'cruelty', 'lara', 'family', 'hatred', 'samuel', 'use', 'son', 'alvaro', 'destroy', 'maltreat']"
371,The Reunion,2012,Comedy,Four young men who were friends in high school reunite several years later to discover that they all have failed professionally and their love lives haven't really gone anywhere. They go on a quest to find and reconnect with their school sweethearts and finally achieve happiness.Written byFilmPuff,movie,"$1,634,945","['young', 'man', 'friend', 'high_school', 'reunite', 'several', 'discover', 'fail', 'professionally', 'love', 'life', 'really', 'go', 'anywhere', 'go', 'quest', 'find', 'reconnect', 'school', 'sweetheart', 'finally', 'achieve', 'happiness']"
373,Sana maulit muli,1995,"Drama, Romance","Agnes (Lea Salonga), a painfully shy girl, is extremely devoted and dependent on her confident and free-spirited boyfriend Jerry (Aga Muhlach), an idealistic advertising executive. Their differences strengthen their relationship. Agnes then gets petitioned by her absentee mother based in California. As Agnes flies abroad, she finds herself struggling to survive in the US. Everything seems difficult for her, especially because Jerry is not with her. Meanwhile, Jerry spends the days without Agnes guiding his career and develops another relationship with Cynthia (Cherry Pie Picache). Their long distance relationship is weakened until Agnes and Jerry fall apart. In the long run, Agnes learns to cope with the fast-paced lifestyle in the US- she gets a new place, car, and attitude. She becomes totally independent, almost emotionless. One day, Jerry is assigned to join an ad conference in New York. He pays a visit to Agnes with the hopes of winning her back. Will Jerry's visit to the United ...",movie,,"['lea', 'salonga', 'painfully', 'shy', 'girl', 'extremely', 'devoted', 'dependent', 'confident', 'freespirited', 'boyfriend', 'jerry', 'aga_muhlach', 'idealistic', 'advertising', 'executive', 'difference', 'strengthen', 'relationship', 'agne', 'petition', 'absentee', 'mother', 'base', 'california', 'agne', 'fly', 'abroad', 'find', 'struggling', 'survive', 'seem', 'difficult', 'especially', 'jerry', 'meanwhile', 'jerry', 'spend', 'day', 'agne', 'guide', 'career', 'develop', 'relationship', 'cynthia', 'cherry', 'long', 'distance', 'relationship', 'weaken', 'agne', 'jerry', 'fall', 'apart', 'long', 'run', 'agne', 'cope', 'fastpaced', 'lifestyle', 'get', 'new', 'place', 'car', 'attitude', 'become', 'totally', 'independent', 'almost', 'emotionless', 'day', 'jerry', 'assign', 'join', 'ad', 'conference', 'new_york', 'visit', 'agne', 'hope', 'win', 'jerrys', 'visit', 'united']"
375,Gaano kadalas ang minsan?,1982,Drama,"They are two women in love with one man. One is the wife, the other is the mistress. And between them, the man whose love and time they share. But even the most discreet of affairs can be laid open, and the most submissive of wives can lose her patience. Vilma Santos, Hilda Koronel and Dindo Fernando lend their thespic talents to this moving tale of love, betrayal and retribution.Written byAnonymous",movie,,"['woman', 'love', 'man', 'wife', 'mistress', 'man', 'love', 'time', 'share', 'even', 'discreet', 'affair', 'lay', 'open', 'submissive', 'wife', 'lose', 'patience', 'vilma_santo', 'hilda', 'koronel', 'dindo', 'fernando', 'lend', 'thespic', 'talent', 'move', 'tale', 'love', 'betrayal', 'retribution']"
376,Annie B.,2004,"Comedy, Musical","Annie is an active and lively teenager. Fernando owns an ad agency. Annie halts Fernando's wedding mistaking him as her sister's boyfriend. The two meet again when Annie auditions for a TV commercial. Despite their start, the two get to know each other.",movie,,"['active', 'lively', 'teenager', 'fernando', 'own', 'ad', 'agency', 'annie', 'halt', 'fernando', 'wedding', 'mistake', 'sister', 'boyfriend', 'meet', 'annie', 'audition', 'tv', 'commercial', 'start', 'get', 'know']"
377,Isang bala ka lang!,1983,"Action, Drama","Berting (FPJ), a good cop tries his best to keep the oath that he made to his duty. After being convicted and jailed for twelve years for avenging his wife's death, he swore to evade trouble and live a peaceful life with his daughter Angela (Julie Vega). But how long can he remain inaction if good people and the law do nothing as criminal elements continue to victimize innocent people.Written byledster",movie,,"['berte', 'good', 'cop', 'try', 'well', 'keep', 'oath', 'make', 'duty', 'convict', 'jail', 'year', 'avenge', 'wifes', 'death', 'swore', 'evade', 'trouble', 'live', 'peaceful', 'life', 'daughter', 'vega', 'long', 'remain', 'inaction', 'good', 'people', 'law', 'criminal', 'element', 'continue', 'victimize', 'innocent', 'people']"
380,My Only Ü,2008,"Comedy, Drama, Romance","Winona, a sassy and spunky girl is just diagnosed with lupus, Bong, a guy who secretly loves her, will do everything for her to live to the fullest before she expires.",movie,"$1,585,999","['winona', 'sassy', 'spunky', 'girl', 'diagnose', 'lupus', 'bong', 'guy', 'secretly', 'love', 'live', 'full', 'expire']"
381,Rigodon,2012,Drama,Sarah who just got out in a failed relationship. Finds a man named Riki who is a product of a reality show and currently finding his way to the top. The two develop a relationship which benefits each others needs.,movie,"$31,307","['get', 'fail', 'relationship', 'find', 'man', 'name', 'riki', 'product', 'reality', 'show', 'currently', 'find', 'way', 'top', 'develop', 'relationship', 'benefit', 'other', 'need']"
382,Through Night and Day,2018,"Comedy, Romance",Ben and Jen's relationship is put to test as they embark on a trip of a lifetime to Jen's lifelong dream destination - Iceland.,movie,,"['relationship', 'put_t', 'embark', 'trip', 'lifetime', 'jen', 'lifelong', 'dream', 'destination', 'iceland']"
383,Asintado,2018,"Action, Drama","It is a Philippine drama television series starring Julia Montes as Ana Dimasalang, a paramedic who became Gael's nurse after saving him in an accident. She becomes entwined in an assassination plot arranged by the del Mundo's and Ojeda's upon witnessing their plan. The show features an ensemble cast with Shaina Magdayao, Paulo Avelino, Aljur Abrenica, Lorna Tolentino, Agot Isidro, Nonie Buencamino, and Cherry Pie Picache. The series premiered on ABS-CBN's Kapamilya Gold afternoon block and worldwide on The Filipino Channel from January 15, 2018 to October 5, 2018 replacing Pusong Ligaw.",tv,,"['philippine', 'drama', 'television', 'series', 'star', 'monte', 'ana', 'dimasalang', 'paramedic', 'become', 'gael', 'nurse', 'save', 'accident', 'become', 'entwine', 'assassination', 'plot', 'arrange', 'del', 'witness', 'plan', 'show', 'feature', 'ensemble', 'cast', 'shaina', 'magdayao', 'aljur', 'abrenica', 'isidro', 'nonie', 'buencamino', 'cherry', 'pie_picache', 'series', 'premiere', 'abscbns', 'kapamilya', 'gold', 'afternoon', 'block', 'worldwide', 'filipino', 'channel', 'january', 'october', 'replace', 'pusong', 'ligaw']"
384,Beyond Atlantis,1973,"Action, Adventure, Fantasy",A band of adventurers invade a native island determined to grab a reported fortune in buried treasure. The islanders are just as determined to keep their sacred treasure. Complications ensue.,movie,,"['band', 'adventurer', 'invade', 'native', 'island', 'determined', 'grab', 'report', 'fortune', 'bury', 'treasure', 'islander', 'determine', 'keep', 'sacred', 'treasure', 'complication', 'ensue']"
388,Si Chedeng at si Apple,2017,Comedy,"In the wake of her husband's death, Chedeng, 66, decides to come out of the closet. Her best friend Apple, 63, beheads her live-in partner in a fit of rage. Bound by friendship, the two elderly women, together with the severed head placed inside a Louis Vuitton bag, set off an adventure to find Chedeng's ex-girlfriend.",movie,,"['wake', 'husband', 'death', 'chedeng', 'come', 'closet', 'apple', 'behead', 'livein', 'partner', 'fit', 'rage', 'bind', 'friendship', 'elderly', 'woman', 'together', 'sever', 'head', 'place', 'louis', 'vuitton', 'bag', 'set', 'adventure', 'find', 'chedeng', 'exgirlfriend']"
389,Lastikman,2007,"Action, Fantasy",Nice movie djrchssdvnjjrscvbnndxc bngcvbbbbvnnmgdvbjhfcbjkmmkkkknjhhggggdxhjj,tv,,"['nice', 'movie', 'djrchssdvnjjrscvbnndxc', 'bngcvbbbbvnnmgdvbjhfcbjkmmkkkknjhhggggdxhjj']"
390,Pinulot ka lang sa lupa,1987,Drama,"A story of love, patience, forgiveness, and second chances. Angeli is an orphan girl raised by a wealthy widower, Diony. Angeli's hardships as a child led her to be a possessive and selfish woman. Diony has an only son, Efraim whom Angeli has adored since childhood. Efraim and his dad made Angeli the apple of their eyes. Then, Santina came into the picture... Philippines award winning movie.",movie,,"['story', 'love', 'patience', 'forgiveness', 'second', 'chance', 'orphan', 'girl', 'raise', 'wealthy', 'widower', 'diony', 'hardship', 'child', 'lead', 'possessive', 'selfish', 'woman', 'diony', 'son', 'efraim', 'angeli', 'adore', 'childhood', 'efraim', 'dad', 'make', 'angeli', 'apple', 'eye', 'santina', 'come', 'picture', 'philippine', 'award', 'win', 'movie']"
391,Goin' bulilit,2005,Comedy,"This is TV's first gag show hosted purely by...non other than kids. Today's hottest pool of kids, two of them from the country's leading Teen Star Search, Star Circle Quest (Kid), Nash Aguas, the Grand Questor and Sharlene San Pedro comprise the cast. It showcases new wave gags and spoofs that was even funnier than those of the adults!Written by'-shinjie-'_taiki",tv,,"['tvs', 'first', 'gag', 'show', 'host', 'purely', 'bynon', 'kid', 'today', 'hot', 'pool', 'kid', 'countrys', 'lead', 'teen', 'star', 'search', 'star', 'circle', 'quest', 'kid', 'nash', 'grand', 'questor', 'sharlene', 'cast', 'showcase', 'new', 'wave', 'gag', 'spoof', 'even', 'funny', 'adult']"
392,Got 2 Believe,2002,Romance,"Tony (Claudine Barretto) is woman desperate to find love. She meets Lawrence (Rico Yan), a photographer, who offers her to help find the man of her dreams. Together, they will discover the real meaning of ""True Love"".",movie,,"['tony', 'claudine', 'barretto', 'woman', 'desperate', 'find', 'love', 'meet', 'lawrence', 'rico', 'yan', 'photographer', 'offer', 'help', 'find', 'man', 'dream', 'together', 'discover', 'real', 'meaning', 'true', 'love']"
394,Petrang kabayo,2010,"Comedy, Fantasy","Peter Kasimsiman was once a submissive son to his parents. But losing his mother at a tender age, left him with an abusive father who only knew of tending to his carriage horse, Brown Beauty. Peter is eager to win the love and attention of his indifferent Tatay. But an unfortunate incident forces him to run away from home. His horrible life starts to change its course when he meets the nurturing haciendera Helena who provides him shelter and unconditional affection he knew his father would never be able to give. Helena teaches Peter love and kindness, grooming him as the sole heir to the hacienda in the event of her death. Albeit fueled with the guidance of the good-natured foster mother, who's known for her passionate concern for her employees, Peter has an intolerable bad temper especially towards her mother's loyal servant, Maita and the latter's beautiful and gifted daughter, Samantha. Peter's almost perfect life is threatened as people from the hacienda adore the beauty and ...Written byAnonymous",movie,"$2,647,739","['kasimsiman', 'submissive', 'son', 'parent', 'lose', 'mother', 'tender', 'age', 'leave', 'abusive', 'father', 'know', 'tend', 'carriage', 'horse', 'brown', 'beauty', 'peter', 'eager', 'love', 'attention', 'indifferent', 'tatay', 'unfortunate', 'incident', 'force', 'run_away', 'home', 'horrible', 'life', 'start', 'change', 'course', 'meet', 'nurture', 'haciendera', 'helena', 'provide', 'shelter', 'unconditional', 'affection', 'know', 'father', 'never', 'give', 'helena', 'teach', 'love', 'kindness', 'groom', 'sole', 'heir', 'hacienda', 'event', 'death', 'fuel', 'guidance', 'goodnatured', 'foster', 'mother', 'know', 'passionate', 'concern', 'employee', 'peter', 'intolerable', 'bad', 'temper', 'especially', 'mother', 'loyal', 'servant', 'latters', 'beautiful', 'gifted', 'daughter', 'samantha', 'peter', 'almost', 'perfect', 'life', 'threaten', 'people', 'hacienda', 'adore', 'beauty']"
395,"Hari ng sablay: Isang tama, sampung mali",2005,Comedy,"A galaxy of giggles! Venus and Mars are neighbors born at the same time during a cosmically rare planetary alignment. Their astrologically perfect birthdays, however, result in completely different destinies: Venus showers everyone around her with love and good fortune, while Mars unwittingly gives himself and his loved ones nothing but misfortune. Philippines Tagalog movie.",movie,,"['galaxy', 'giggle', 'venus', 'mars', 'neighbor', 'bear', 'time', 'cosmically', 'rare', 'planetary', 'alignment', 'astrologically', 'perfect', 'birthday', 'however', 'result', 'completely', 'different', 'destiny', 'venus', 'shower', 'around', 'love', 'good', 'fortune', 'mar', 'unwittingly', 'give', 'loved_one', 'misfortune']"
396,Yesterday Today Tomorrow,2011,"Drama, Romance","This is a story of people and the secrets that tear them apart. It follows a surprising decision that family members make in the aftermath of a tragedy...life changing decisions that will either lead them to a future full of lasting happiness, or one full of despair. Philippines Filipino movie.",movie,,"['story', 'people', 'secret', 'follow', 'surprising', 'decision', 'family', 'member', 'make', 'aftermath', 'tragedylife', 'change', 'decision', 'lead', 'future', 'full', 'last', 'happiness', 'full', 'despair', 'philippines', 'filipino', 'movie']"
397,Between Maybes,2019,"Drama, Romance","Louie Puyat has been living a solitary life in Saga, Japan until has-been actress Hazel Ilagan arrives. They develop a functional relationship where Louie checks on Hazel during her vacation. Amidst the isolation, the two lost souls find comfort in each other.",movie,"$16,468","['louie', 'puyat', 'live', 'solitary', 'life', 'saga', 'japan', 'hasbeen', 'actress', 'hazel', 'arrive', 'develop', 'functional', 'relationship', 'louie', 'check', 'hazel', 'vacation', 'isolation', 'lose', 'soul', 'find', 'comfort']"
398,Matangtubig,2015,"Drama, Horror, Thriller","The routine of the quaint rural town of Matangtubig is broken with the discovery of a girl's remains, defiled in an open grass field, another girl, missing. Claims for justice and a search ensues, the national media turns its attention, as the town is put on trial for the secrets it keeps, a local fisherman struggles with his conscience to admitting as witness. The townsfolk become entities for decency and sham, attempting to divert attention, the town put up its yearly festival by the lake, unknowing of a sleeping evil that has come to claim them.Written byanonymous",movie,,"['routine', 'quaint', 'rural', 'town', 'break', 'discovery', 'girl', 'defile', 'open', 'grass', 'field', 'girl', 'miss', 'claim', 'justice', 'search', 'ensue', 'national', 'medium', 'turn', 'attention', 'town', 'put', 'trial', 'secret', 'keep', 'local', 'fisherman', 'struggle', 'conscience', 'admit', 'witness', 'townsfolk', 'become', 'entity', 'decency', 'sham', 'attempting', 'divert', 'attention', 'town', 'put', 'yearly', 'festival', 'lake', 'unknowing', 'sleep', 'evil', 'come', 'claim']"
399,Bloody Crayons,2017,"Horror, Mystery, Thriller",A group of graduating students goes to an island for a short film project when they are rattled by a mysterious killer who strives to kill all of them.,movie,,"['group', 'graduate', 'student', 'go', 'island', 'short', 'film', 'project', 'rattle', 'mysterious', 'killer', 'strive', 'kill']"
400,"Isa pa, with feelings",2019,"Comedy, Romance","It is a Filipino romantic-comedy film directed by Prime Cruz. Maine Mendoza stars as the aspiring, young architect, Mara Navarro. Carlo Aquino co-leads as Gali Pastrano, her deaf neighbor and sign language teacher. The two develop a friendship that buds into romantic feelings for each other. But, how will they settle their differences when they are unable to communicate?",movie,"$17,987","['filipino', 'romanticcomedy', 'film', 'direct', 'prime', 'cruz', 'maine', 'star', 'aspire', 'young', 'architect', 'mara', 'carlo', 'aquino', 'pastrano', 'deaf', 'neighbor', 'sign', 'language', 'teacher', 'develop', 'friendship', 'bud', 'romantic', 'feeling', 'settle', 'difference', 'unable', 'communicate']"
402,Eseng ng Tondo,1997,Action,"The story of a workaholic policeman who is so dedicated to his job that it creates conflict between him and his jealous wife Digna (Jenny Syquia). It also stars Ina Raymundo as Elvie, a street-smart informer who falls in love with him.",movie,,"['story', 'workaholic', 'policeman', 'dedicated', 'job', 'create', 'conflict', 'jealous', 'wife', 'syquia', 'also', 'star', 'ina', 'elvie', 'streetsmart', 'informer', 'fall', 'love']"
406,Saka saka,2013,Action,"Saka Saka is about two siblings Alex Abueg (Falcon) and Abner Abueg (Marco), whose family and lives are shattered upon their initiation to the violent world of political assassins or saka saka. In this movie, it exposes the secret world of the saka saka as it explores and interrogates the age-old conflict between lawful righteousness and violent revenge. The movie is set against the contrasting backdrops of rustic, provincial life and the fast-paced, modern culture of the metropolis. By essence it is a story about family movie wherein it challenges audiences to think about the extreme extents that they may do to defend and protect their families from oppression and corruption.Written byfckitsjm",movie,,"['saka', 'sibling', 'alex', 'abueg', 'falcon', 'abner', 'marco', 'family', 'live', 'shatter', 'initiation', 'violent', 'world', 'political', 'assassin', 'saka', 'movie', 'expose', 'secret', 'world', 'saka', 'explore', 'interrogate', 'ageold', 'conflict', 'lawful', 'righteousness', 'violent', 'revenge', 'movie', 'set', 'contrast', 'backdrop', 'rustic', 'provincial', 'life', 'fastpaced', 'modern', 'culture', 'metropolis', 'essence', 'story', 'family', 'movie', 'wherein', 'challenge', 'audience', 'think', 'extreme', 'extent', 'defend', 'protect', 'family', 'oppression', 'corruption']"
407,Bride for Rent,2014,"Comedy, Romance","Rocco Espiritu (Xian Lim) and Rocky Espiritu (Kim Chiu) have one thing in common: they are both in need of money, fast. On the eve of his 25th birthday and the day he is set to receive money from his trust fund, Rocco parties, gets drunk, and loses all his money on a poker match. Now he has to produce the amount or else lose the client he needs to defeat his father's TV commercials production company. Meanwhile, Rocky needs to pay the rent or else, her whole family will be homeless. The only way for Rocco to get the money from his trust fund is to fulfill the conditions set by his grandmother: that is, to get married. That's when he meets Rocky who agrees to act as his pseudo wife in exchange of a big ""talent fee."" With Rocco's tempting offer and Rocky's need for money, the two seal the deal. As Rocky and Rocco go through their married life, problems come one after another and thus, they are forced to reconcile their differences and work with each other. However, the real complication...Written byStar Cinema",movie,"$7,348,239","['rocky', 'kim_chiu', 'thing', 'common', 'need', 'money', 'fast', 'eve', 'th_birthday', 'day', 'set', 'receive', 'money', 'trust', 'fund', 'rocco', 'party', 'get', 'drunk', 'lose', 'money', 'poker', 'match', 'produce', 'amount', 'else', 'lose', 'client', 'need', 'defeat', 'father', 'tv', 'commercial', 'production', 'company', 'meanwhile', 'rocky', 'need', 'pay', 'rent', 'else', 'whole', 'family', 'homeless', 'way', 'get', 'money', 'trust', 'fund', 'fulfill', 'condition', 'set', 'grandmother', 'get', 'marry', 'that_s', 'meet', 'rocky', 'agree', 'act', 'pseudo', 'wife', 'exchange', 'big', 'talent', 'fee', 'roccos', 'tempting', 'offer', 'rockys', 'need', 'money', 'seal', 'deal', 'rocky', 'rocco', 'go', 'married', 'life', 'problem', 'come', 'one', 'thus', 'force', 'reconcile', 'difference', 'work', 'however', 'real', 'complication']"
409,Saving Sally,2016,"Animation, Drama, Fantasy","In a typical teen film about love, monsters, and gadgets, Marty, an aspiring comic-book artist, secretly loves his gadget inventor best friend, Sally, and fantasizes of saving her from the big bad world.",movie,,"['typical', 'teen', 'film', 'love', 'monster', 'gadget', 'aspire', 'comicbook', 'artist', 'secretly', 'love', 'gadget', 'inventor', 'fantasize', 'save', 'big', 'bad', 'world']"
